epoch,train_loss,eval_loss,eval_map
0,1.6232897293706812,1.385403265324674,0.006409434197878004
1,1.3184100287433729,2.640964054322058,0.07759912023853127
2,0.9434359943356495,1.0763510682786157,0.1741586216721606
3,0.7847101352094212,0.7358092656431272,0.18932601444945024
4,0.7169675019928453,0.6182453660077827,0.22361646211451686
5,0.6643116982066678,0.594117383624232,0.25444816895560474
6,0.626301894392021,0.6064839714257292,0.27769494887485335
7,0.619568812476058,0.5540212623832762,0.3290526136235655
8,0.5888493473891618,0.5615270535151163,0.34070727319690675
9,0.5670831797187894,0.5453962096872256,0.3608922164066133
10,0.557613113742858,0.5269104170706845,0.38553607830518194
11,0.5504588345609286,0.5036038594652515,0.43786483722752684
12,0.5279806309636929,0.5189797268357388,0.4342070051938507
13,0.5088417594998728,0.49142188573068424,0.47504063905954813
14,0.5009305972301542,0.46741033871044485,0.5020305218868746
15,0.4734815734833595,0.44961188860641893,0.5129971553186456
16,0.45257533234381025,0.46565295420875846,0.5046668036899421
17,0.45935541878414526,0.45826139930606813,0.5170774800250677
18,0.4547550882346899,0.46012036675630613,0.5066944756263244
19,0.43392319298903764,0.45223933111789616,0.5113239225885302
20,0.4240114839624338,0.44936253534731013,0.5271043049228857
21,0.4366125255707173,0.44664788292359936,0.5313132228737085
22,0.40736232077565177,0.44655735386434453,0.5618042566226993
23,0.41010900230259284,0.44753797410070434,0.5371885459680994
24,0.4078314587299926,0.4271130973054457,0.5889280439473025
25,0.39411992947879004,0.4391937662464704,0.5951459445898272
26,0.38124954375775405,0.4423442053240399,0.6113970458221736
27,0.3858696301159692,0.46286431624907853,0.571377686624586
28,0.37932256061279357,0.4245871619660725,0.6225159362226248
29,0.37898300501159193,0.44093212439108265,0.6285640031156198
30,0.35718100764408184,0.41656826771506966,0.6407681071915896
31,0.3427495471698301,0.4273022378599921,0.6449770400408487
32,0.3403370365326507,0.42784458075382914,0.6356452495863198
33,0.3549992575487738,0.4452704999798028,0.5926894138241487
34,0.3610317108696073,0.40211286517076716,0.6556202102266766
35,0.34267217199162286,0.4111848034599955,0.6452548927630721
36,0.3315611489783929,0.4192351084346919,0.655558736200301
37,0.32808506048143143,0.41201921304066974,0.6639220604412918
38,0.3174347694281938,0.4076883938423423,0.6476793370397855
39,0.31078881036910566,0.41625340825827545,0.6400916460288685
40,0.32106580170675936,0.41795724122099176,0.640129046101714
41,0.3033609212836403,0.40202389761458995,0.663451224792409
42,0.29879510565026723,0.3999156143314155,0.659798451463978
43,0.2899116670807048,0.40324780229450197,0.6687493247833666
44,0.2766677341224619,0.4032709811084954,0.6550336011301809
45,0.2721416517686287,0.40130026580751404,0.6668151894665092
46,0.2772651282845768,0.4131231197091036,0.6525674120746066
47,0.2700644206212188,0.3903290181196937,0.6720154620005917
48,0.2849762990548917,0.3954626996387807,0.6707643441099628
49,0.27426100693324196,0.4158583440521891,0.658107805510139
50,0.26173563214591505,0.4091390925784444,0.6651623282660292
51,0.263753424358739,0.4128260760344276,0.6474695440568039
52,0.25818213582734656,0.4360375737034997,0.6496976182784736
53,0.25866664198122136,0.40423933757367986,0.6769297564384216
54,0.24940656340075837,0.4011903945789781,0.6768995729622819
55,0.2529827398084945,0.3988911791365276,0.6775227095860856
56,0.24281698337788712,0.39203003626461175,0.6833653419379919
57,0.2462938692319254,0.39733480667883114,0.6799639239549781
58,0.24034407618908565,0.39816595602405164,0.6848477151115872
59,0.22818800621459456,0.40285445091336275,0.6766201978534597
60,0.24180263327253468,0.3971878867740779,0.6775300595227025
61,0.23648384259832508,0.3968945907991986,0.6866906178022932
62,0.23708614219951257,0.4002925439398418,0.6805765598617989
63,0.2283341891570778,0.3910053524860116,0.6906330520962509
64,0.22820157856328943,0.40612018847650333,0.6707067585719393
65,0.23121088986730762,0.3951217301132143,0.6842203048177875
66,0.22197100189641292,0.3929012191388034,0.682527809915586
67,0.22705824586204054,0.39242618813995245,0.6897956031187988
68,0.22272846566563914,0.3963931835899057,0.6823540410796203
69,0.22683539099498481,0.3924088575119196,0.6834479465763433
70,0.2247549972065692,0.3929541402084883,0.6866754697298798
71,0.2281974423024441,0.3943598372067592,0.6835418075341972
